ID,TOPIC,IS_IRONIC,MESSAGE
9c91359304feb0bd108c1cf222c22ab0,TARDÀ,1,@ArmandoRuido007 @ANTI_MERMA50 @JoanTarda En vez de Joan Tarda van a llamarle “No han tarda” en callarle la boca 🤣🤣
2bb48c858c36efb5e2b142fbbd8bcb2b,TARDÀ,1,"@El_Plural Joan Tardà responderá a Vox en catalán....si, si, https://t.co/EpShFy8OfV"
eed730fc76f85c2f8309f75068577a3f,TARDÀ,1,@orioldebalanzo Que hayan dejado marcharse libre a Joan Tardà eleva la media de la Justicia española. Ya casi somos Turquía.
82a82f9452de616105324b5be595c8c9,TARDÀ,1,"@PPopular @pablocasado_ Para intervenciones, la del diputado de ERC Joan Tardà
Que pena que vuestras TV transparentes y imparciales no lo retransmitan"
c9542d7219f0f9ec0ad26fbe86645794,TARDÀ,1,@publico_es Ya tenía razón el diputado Joan Tardà con aquello de los fusilamientos...
2c17c14444d224f4b7f9fb5d08fc49c3,TARDÀ,1,@xpep67 Semos lloricas. Parecemos Joan Tardà.
7f17de7be035bf18df0019b4b1ffe425,TARDÀ,1,A mi del PSOE el que más me gusta es Joan Tardà.
99a2761b04ab1083616ac252d99a06e8,TARDÀ,1,"A quien madruga dios le ayuda, menos yo, que madrugo para ayudar a otros, victimas del estado opresor.
Joan Tardà
#CitasEstiloPedroSanchez"
0a9fe3d27361b5a1d590313124064724,TARDÀ,1,"Elecciones Generales 2019: Joan Tardà abandonará el Congreso tras 15 años como diputado... Y no se lleva a su Rufi"" con él??? https://t.co/HjM10RR6kg vía @elindepcom"""
81e0ad112c88adf082b133a4931fee04,TARDÀ,1,Está Joan Tardà a punto de enviarlo todo a tomar por culo y volverse a la aldea con Astérix y Obélix.
33317333a7fa992ca73a499bf341e707,TARDÀ,1,"Estoy escuchando a Joan Tardà en @carnecrudaradio (7 de febrero, sí, lo sé) preguntarse qué haría el PSOE si Pedro Sánchez estuviera en la cárcel y se me ocurre que más de uno y más de una descorcharía el cava bueno."
88d0d2295da71bab5a8abc2c855974c0,TARDÀ,1,Federico compara a Joan Tardá con @soyunapringada_ https://t.co/wBFampLCnD
6112a0e448638f9b368390ebc16a9ed7,TARDÀ,1,"Hay que quitarle la tilde al apellido, a partir de ahora es Joan Tarda de retardado https://t.co/FCW3oBtPHN"
fa390c09f9d749681512d91d2a415970,TARDÀ,1,"Hoy los indepes con la declaración de Joan Tardá acaban de descubrir que el catalán fuera de su región carece de utilidad, les ha costado pero por fin lo han comprendido."
5c3ebef6cced01594d1a33713755dd3d,TARDÀ,1,"Hoy me han robado la bici, de una manera cívica y pacífica.

Segun Joan Tardá esa manera es a la catalana"" ."
bbd18f5d607fb82c3274737a75fe76ff,TARDÀ,1,"Joan Tardà, con 20 años en Madrid y que a penas sabe hablar castellano, dando lecciones a la abogada del Estado sobre como deben pronunciarse los apellidos catalanes."
23f9c362c572481e731a054f46e5193c,TARDÀ,1,"Joan Tardà, Joan Prontà"
054d8b7e54cae2988a0e586cfbb66cb9,TARDÀ,1,"Me hace gracia que Joan Tardá le recrimine a la abogacía del estado que si pone interés pronuncia bien el apellido, cuando llevan metiendo patadas al diccionario desde que  ha empezado el Juicio."
c6e5b894d153089743a7a097d24af3e4,TARDÀ,1,"Mi actividad como diputado y diputada..."" joan tardà."
0f4931bcad9be5a87910dc48a04ec664,TARDÀ,1,Si a Joan Tardá (y compañía) les cobráramos un euro por cada minuto que pasan haciendo el gilipollas acabarían pidiendo un préstamo al FMI
4b73956fdefa7448696a40905b0b8ec8,TARDÀ,1,Si llega tarde al juicio... ¿Joan tarda?
46a920e9f01da7cf55a11bd152b2a892,TARDÀ,1,Si yo fuera testigo del Juicio contra el independentismo y mi turno fuese detrás de Joan Tardá ya estaría llamando a casa para decir que no me esperaran a cenar ...
26aa68e3a9bb517fa052c16dc32e03be,TARDÀ,1,"SUPERVIVIENTES 2O19.....NUEVA TEMPORADA....

Inscritos hasta el momento
Joan Tarda
Pedro Sanchez
Celia Villalobos
Adriana Lastra 
Carmen Calvo
Celaa
Tezanos

.....se cierra la lista de admitidos el 27.04.2019 a las 24 h."
95b592fcbd4349cf3e51e3ca714adf05,TARDÀ,1,"Vaya tío. Que hable en alemán, https://t.co/YheO20FitU"
d3d94a2792b4c9405a4e63454dc10786,TARDÀ,1,Ya está Joan Tardá en el Supremo para explicar que vivimos en el franquismo y que tenemos mucho que envidiar a la democracia de Maduro https://t.co/s39DCKMpEo
adabf1e352f86f1be7a5c6db8f3b0d54,TARDÀ,1,"Abogado de Vox: ¿Sr Tarda tiene usted hora ?
Joan Tarda: Si . Tengo hora 
Abogado de Vox: No hay más preguntas señoría .

Solo he visto cinco minutos de junio y es esperpéntico todo ."
876e04902050c5530e24f190a413b12b,TARDÀ,1,"Alabo la coherencia de Joan Tardá, en el Congreso parece una persona con ciertos problemas cognitivos, y en el Juicio exactamente lo mismo."
2eed832bb81373bac2b44e3bf239539e,TARDÀ,1,Comienza Joan Tardà por la puerta grande. Primeras palabras y primera llamada de atención. 😅😂
595c738b337ddee73abdfc3e59cf2d6d,TARDÀ,1,Democracia plena en la que no se permite declarar en una lengua cooficial del Estado. Joan Tardà. #JuicioFARSA
65eef45baa453401ab565c3c60104b9e,TARDÀ,1,Después de Joan Tardá ya podía haber salido Rufián un rato con sus camisetas molonas. Las mañanas no son igual de divertidas sin él https://t.co/9TNQ1r6ars
b6787db36cc6de358488d19a2a9883b5,TARDÀ,1,"Doce acusados, Joan Tardà y Artur Mas. Ahora le toca al otro equipo un poco."
ae592be6146cd6f82ba70cb9cef3668b,TARDÀ,1,Joan Tardá bordando su papel de bufón de la RepubliNarnia ante el Tribunal Supremo...
60a4929cba3f03b521771213049362f2,TARDÀ,0,"@AlvaroBernad Ya se le planteó Maragall a Joan Tardá y la respuesta fue tragicómica.

https://t.co/1MXXhs5hPj"
24bb60314e69f531342e0c6f26a1cb04,TARDÀ,0,@carlesenric Joan Tardà está actuando como un acusado 🤣🤣
95cfd17f2298bf5f6909d6a81ed95d35,TARDÀ,0,@elindepcom Perfecto el juez Marchena corrigiendo en seco a Joan Tardá varias veces. Este se cree que está en una performance de las que montan en Cataluña. 👏👏👏
045b393b84c6a398e7ef041ea3a16dd5,TARDÀ,0,@sergipinkman @ClonPepe A ver...no empezamos..bien...ja ja .ja ja:.se lo dice al Joan Tardà
142b60e41a4f6f1b060f3d84a566f98b,TARDÀ,0,"Ernest Maragall, Alfred Bosch y Joan Tardà ya son ante el Supremo #JuicioProces  https://t.co/9yIUEWoDkx https://t.co/2uYhk7AsDU"
