ID,TOPIC,IS_IRONIC,MESSAGE
6424ee0864a0af40660686e135f5652b,asuntosConacyt,1,"Rica económicamente, pero muy pobre en objetividad."
f59978451dd7fb228830fed2ae00c3ef,asuntosConacyt,1,"En algo tiene razón, mafias hay en todo, hasta en su 4t."
280963c5eb0d162858caf3480a7ea08c,asuntosConacyt,1,¿De cuándo acá tan preocupados por la ciencia y la investigación?
69af1d02743953e5a0e971cf6ac00c69,asuntosConacyt,1,"De una vez que paren las titulaciones, que todos sean pasantes, así todos tendrán el mismo nivel que el director de Pemex y el subdirector de Conacyt 😡"
b0be044f4682eea74c6fe83a87fff22a,asuntosConacyt,1,@LopesDorigaa @Dolores_PL  Es el que también te atiende tu tiendita.. a la Padierna...!!
bb3895deabd4aba3e328abdfa53323b4,asuntosConacyt,1,Pero ahí viene el joven prodigio y digno representante dr la 4ta Tranformación a hacer el quite
07e712aec9b92319cfff48e07d00731c,asuntosConacyt,1,"@lopezobrador_   Habla de la Mafia del poder y ahora  de la Mafia de la ciencia , y el es el padrino de la Mafia de la estupidez e incompetencia"
99baf109f3a25721ffdb30c529990b0a,asuntosConacyt,1,¿y la diseñadora de modas en el CONACYT?
5f70ec64d4cc6f4d628ce74008b815c5,asuntosConacyt,1,Esta 4T odia todo al que se tiene estudios. Nadie puede ser más inteligente y tener más años de estudios que AMLO.
d8deeac521c1c8ad396f680f6b11db76,asuntosConacyt,1,Si es tan inteligente que lo manden a la Secretaría de Educación faltan refuerzos en ese lugar.....
1e43dee665de80c700ffb642ac767b98,asuntosConacyt,1,"Cuba pais ejemplo??? Si, ejemplo para no imitar!!! No cabe duda de el rumbo de está administración, ignorancia, empobrecimiento, clientelismo para luego solo administrarlo."
530502c1e43503c5e8b00a1dc7848464,asuntosConacyt,1,"¿Qué se puede esperar del más claro exponente del efecto Dunning-Kruger (y de sus seguidores más aún)? Efecto Dunning-Kruger; cuanto menos sabemos, más listos nos creemos:"
d6b547330b39efda735a6c1343154e13,asuntosConacyt,1,"No pos deben de ser pendejos, pa que sacarlos de donde están si después se.olvidan de dónde salieron... Deben ser pendejazos de 4ta. Así."
0eaded4184088faacd4d74b2fa8134aa,asuntosConacyt,1,"Como cuando cambias de personal porque hacen mal el trabajo encomendado y resulta que los reemplazos son piores ( es decir, piores que los peores)"
e9d9f8b7c95964b09cc7c19d564bcd97,asuntosConacyt,1,"Es el colmo con su transformación bananera de cuarta, Pejezuela, siganle.....siganle....no van a llegar ni a la mitad del sexenio..  me canso ganso."
fb3efd1f5825a231b55d63f55fad4482,asuntosConacyt,1,Pero moralmente es muy capaz. 😅
